Searching for double matches between wifi.json and lan.json
[34] {'id0': 1000234, 'id1': 2075, 'dist': 2.2288535624681507}
[35] {'id0': 52640, 'id1': 53411, 'dist': 2.2335794617680165}
[36] {'id0': 33318, 'id1': 55223, 'dist': 2.3041893114452185}
[37] {'id0': 26705, 'id1': 33915, 'dist': 2.3103222829231203}
[38] {'id0': 62684, 'id1': 20374, 'dist': 2.368200881725105}
[39] {'id0': 21286, 'id1': 21274, 'dist': 2.393640014123047}
[40] {'id0': 50024, 'id1': 55223, 'dist': 2.4572760462540333}
[41] {'id0': 16715, 'id1': 1004923, 'dist': 2.5267103045881245}
[42] {'id0': 55795, 'id1': 61071, 'dist': 2.5586909518410526}
[43] {'id0': 35445, 'id1': 35643, 'dist': 2.8343864817226088}
[44] {'id0': 35462, 'id1': 35643, 'dist': 2.9030402966040234}
[45] {'id0': 28477, 'id1': 55685, 'dist': 2.925694641265732}
[46] {'id0': 450, 'id1': 26175, 'dist': 3.2727639028207895}
[47] {'id0': 1004094, 'id1': 16505, 'dist': 3.327381087042584}
[48] {'id0': 16426, 'id1': 1005095, 'dist': 3.374834856119336}
[49] {'id0': 1002225, 'id1': 27273, 'dist': 3.4117254188128188}
[50] {'id0': 34612, 'id1': 60922, 'dist': 3.460219717631613}
[51] {'id0': 54146, 'id1': 52512, 'dist': 3.945396391523214}
[52] {'id0': 55018, 'id1': 50972, 'dist': 4.0303118981581685}
[53] {'id0': 3333, 'id1': 1003123, 'dist': 4.238893970131637}
[54] {'id0': 3457, 'id1': 30940, 'dist': 4.49288661028848}
[55] {'id0': 55677, 'id1': 30746, 'dist': 4.761290946047829}
[56] {'id0': 17602, 'id1': 30306, 'dist': 4.791008764664073}
[57] {'id0': 55276, 'id1': 13358, 'dist': 4.861432366101245}
[58] {'id0': 1002683, 'id1': 50010, 'dist': 4.899378028059275}
[59] {'id0': 1002682, 'id1': 22036, 'dist': 5.0443218646789365}
[60] {'id0': 33622, 'id1': 11210, 'dist': 5.15076925151418}
[61] {'id0': 21782, 'id1': 1003349, 'dist': 5.388117729307869}
[62] {'id0': 28088, 'id1': 54876, 'dist': 5.532153201421567}
