,Cellular,Lan,Dist,Lan Avg,Continent,Datacenter,Cellular Avg,Diff
94,1003519,1005255,16.57059188996805,30.182548961402457,EU,GOOGLE,36.60707982456632,6.424530863163863
95,11170,51090,16.657216310720205,33.76263821871509,EU,GOOGLE,99.27985414035157,65.51721592163648
96,1003159,20187,16.97778577609504,19.337692339745193,EU,GOOGLE,34.8524883953915,15.514796055646304
97,55005,52082,17.855806045031116,22.470113465496844,EU,GOOGLE,36.1413179197537,13.67120445425686
98,27955,378,21.16210415965081,29.761409299417192,EU,GOOGLE,30.527514231582106,0.7661049321649145
99,62382,60455,21.22742440261705,30.849023346200703,NA,GOOGLE,54.651000053187246,23.801976706986544
100,50719,22296,21.537037580900105,43.432168474853675,EU,GOOGLE,58.56114901227789,15.128980537424212
101,22394,55138,21.754349265112616,26.322530525146668,EU,GOOGLE,91.84837931737553,65.52584879222886
102,52731,24355,22.195832917744703,30.938361397662455,EU,GOOGLE,55.242595670544205,24.30423427288175
103,1002522,28716,22.250793884578066,21.19590491520316,EU,GOOGLE,70.09610872631367,48.900203811110515
104,50736,52082,22.72991519474138,22.470113465496844,EU,GOOGLE,36.1413179197537,13.67120445425686
105,1005061,53771,23.95143935564788,13.023751845614035,EU,GOOGLE,45.48290684561683,32.459155000002795
106,1002626,28597,24.33496633752735,71.29558374561475,NA,GOOGLE,79.65405970876948,8.358475963154731
107,29550,20560,25.732488372584022,34.7856417877207,EU,GOOGLE,57.47441210876947,22.68877032104877
108,52772,1003835,26.317306265745245,18.756540168421054,EU,GOOGLE,48.62817070000555,29.871630531584493
109,26831,19793,26.5881401793061,35.40203967836105,EU,GOOGLE,177.71291044210736,142.31087076374632
110,16827,1003793,26.632574284918704,22.308897435446127,EU,GOOGLE,12.54895012280947,-9.759947312636656
111,17789,1004774,28.708248966773727,16.328385107142065,AS,GOOGLE,56.05423503124791,39.725849924105844
112,12165,20299,30.689088879583167,27.890242222222106,EU,GOOGLE,37.8457252000021,9.955482977779994
113,53760,21565,32.47801930908517,67.95713559883157,EU,GOOGLE,51.405334084212626,-16.551801514618944
114,14536,55248,33.19290149243655,28.588383934501753,EU,GOOGLE,61.31912646099254,32.730742526490786
115,3601,3732,33.469774683501775,37.1661298982428,EU,GOOGLE,65.9943759326202,28.8282460343774
116,50288,60601,35.846100308046395,26.04517994152,EU,GOOGLE,51.15437690175579,25.10919696023579
117,24080,10664,36.077898556238026,15.861921671347718,EU,GOOGLE,81.75668074736632,65.8947590760186
118,54866,22009,37.1844889417384,30.527743352632974,EU,GOOGLE,51.15223483508949,20.624491482456513
119,50412,1002970,39.33019790030576,13.270911985965263,EU,GOOGLE,12.670536214034737,-0.6003757719305263
120,28126,1000932,43.376660088243725,30.873541368421062,EU,GOOGLE,60.665442610527364,29.791901242106302
121,16377,1000932,43.44210219256152,30.873541368421062,EU,GOOGLE,60.665442610527364,29.791901242106302
122,20551,29714,47.58718763426295,25.237762030409474,EU,GOOGLE,36.58547023859158,11.347708208182109
123,53718,54398,49.8476178144253,33.24944415375423,EU,GOOGLE,74.73839297368106,41.488948819926826
124,4069,1002580,49.92154240525396,49.165985380118244,NA,GOOGLE,71.8338059263179,22.66782054619965
125,53842,61249,52.39081977662627,20.408472810526668,EU,GOOGLE,24.35569113683578,3.9472183263091125
126,35229,3732,54.15545321105297,37.1661298982428,EU,GOOGLE,65.9943759326202,28.8282460343774
127,1001633,3732,54.4890176066887,37.1661298982428,EU,GOOGLE,65.9943759326202,28.8282460343774
128,26057,3732,57.61336231302216,37.1661298982428,EU,GOOGLE,65.9943759326202,28.8282460343774
129,1004866,61249,63.21883797077616,20.408472810526668,EU,GOOGLE,24.35569113683578,3.9472183263091125
130,1002927,11513,67.73801744657143,30.284548179208247,NA,GOOGLE,134.24879032105264,103.9642421418444
131,1005000,54539,70.39508395289035,39.828111748539996,NA,GOOGLE,33.651644480496806,-6.17646726804319
132,1001738,35695,76.4569384855346,33.956055036840354,EU,GOOGLE,77.94576837193051,43.98971333509016
133,3028,1000265,85.09290382604479,46.57226544671156,EU,GOOGLE,73.36781754035263,26.79555209364107
134,25225,31873,90.6022160394878,24.21302201403403,EU,GOOGLE,45.20168167017474,20.98865965614071
135,1002304,2754,100.95182006536191,73.37282390467648,EU,GOOGLE,214.51658471808193,141.14376081340544
