,Satellite,Lan,Dist,Lan Avg,Continent,Datacenter,Satellite Avg,Diff
21,60234,31224,11.64229888079046,38.44687257017018,NA,GOOGLE,52.155829666664864,13.708957096494686
22,28,51350,12.35021605532081,64.0966337987982,NA,GOOGLE,69.1927872072,5.096153408401804
23,32314,55286,14.675705539665262,11.235166903900899,OC,GOOGLE,17.524921611106667,6.289754707205768
24,62741,18414,17.475409231023185,46.084618069067574,NA,GOOGLE,61.67079046395676,15.58617239488919
25,62843,1003169,20.728695323906624,22.795847441444145,EU,GOOGLE,58.47799051350271,35.682143072058565
26,62417,62480,21.140063700988318,22.652922951954054,NA,GOOGLE,53.51663472972702,30.86371177777297
27,50017,20453,21.963040885747965,45.09931308107928,NA,GOOGLE,69.95742906305675,24.85811598197747
28,60510,15609,23.47209405531026,45.86310123123422,NA,GOOGLE,71.81649165315406,25.953390421919842
29,55492,34568,26.05168565569216,86.42535246396216,NA,GOOGLE,91.59853743693515,5.17318497297299
30,24742,10933,26.68952080963855,17.825706412123637,OC,GOOGLE,41.47616044594595,23.650454033822314
31,1001356,11828,26.8029295234112,18.211346522522522,EU,GOOGLE,41.77651702702703,23.56517050450451
32,61780,19991,27.59894922608949,51.92582577777568,NA,GOOGLE,64.66612313514324,12.74029735736756
33,53509,54877,29.30781313906339,53.74973730330451,NA,GOOGLE,58.96284538739459,5.213108084090081
34,61899,13667,29.762698223753485,35.37386843543784,NA,GOOGLE,51.70819645370278,16.33432801826494
35,60328,928,30.014458423761926,19.76398366366486,EU,GOOGLE,54.737852333333336,34.97386866966848
36,17979,95,38.00752937050045,31.71296125524955,EU,GOOGLE,51.762411900902705,20.049450645653156
37,19648,15542,39.21631018628719,77.10246449549369,NA,GOOGLE,90.5475743693811,13.445109873887404
38,1002750,3150,40.22992598867224,26.333934384371176,EU,GOOGLE,41.782458590086485,15.448524205715309
39,62365,10394,43.68122877616428,72.7908041111108,NA,GOOGLE,69.10651708107568,-3.6842870300351223
40,61365,50084,55.726273551162414,33.8124136966955,NA,GOOGLE,60.476491229727024,26.664077533031524
41,53798,54845,62.93033791785074,78.2980361171144,NA,GOOGLE,85.58524193243514,7.287205815320732
42,20544,10603,65.90426526313449,31.03641232432432,EU,GOOGLE,43.00957123422973,11.973158909905411
43,15623,61357,76.16979719911593,40.21560623423243,EU,GOOGLE,84.01576661261082,43.800160378378386
44,52955,22878,87.57913770994035,28.392131651378897,OC,GOOGLE,58.13927249019705,29.747140838818154
45,62498,1001544,87.70829965704122,69.03799074848635,NA,GOOGLE,87.67926225225135,18.641271503764997
46,12426,1002532,91.24212312288236,72.81160704654324,NA,GOOGLE,89.89235296396215,17.08074591741891
47,13040,26756,91.26516192302743,29.652653942944145,EU,GOOGLE,42.3507973963973,12.698143453453152
48,62956,50495,114.09650876992733,35.3188475075045,NA,GOOGLE,55.023002076583786,19.704154569079286
49,23127,13671,136.70830327446305,67.5819619189144,NA,GOOGLE,89.60657395495676,22.024612036042356
50,54330,28181,203.5110963391436,47.82841314264234,NA,GOOGLE,63.925226581075684,16.096813438433344
51,28221,1003432,209.1950992976013,57.216389126124334,NA,GOOGLE,59.82497984685135,2.6085907207270154
52,35042,24639,247.7685673171437,56.260295615616215,NA,GOOGLE,67.03140786666286,10.771112251046645
53,61366,11179,0.111195080233243,30.05477580480901,EU,AMAZON,57.04500182407779,26.990226019268775
54,61081,52041,0.1827980682499387,50.73438204504235,NA,AMAZON,70.20790198198378,19.47351993694143
55,1003898,16984,0.2223901604664861,15.463657584082881,EU,AMAZON,55.60224037838108,40.1385827942982
56,22802,24971,0.2795482523070224,28.794793234236035,NA,AMAZON,92.39611923423243,63.60132599999639
57,50008,32700,0.4447803209336795,15.263312177174772,EU,AMAZON,37.411093126118914,22.147780948944142
58,1001040,55147,0.7783655616341161,59.09741205864537,NA,AMAZON,106.10858518918917,47.0111731305438
59,61731,85,0.9235792253570396,23.934489738730626,NA,AMAZON,57.83125140991081,33.89676167118019
60,61498,55346,1.8656802253369968,30.667111348347753,EU,AMAZON,69.7663773873919,39.099266039044146
61,1002289,32700,2.1379832665426464,15.263312177174772,EU,AMAZON,37.411093126118914,22.147780948944142
62,1004453,55353,2.155535029778238,11.456604351349549,OC,AMAZON,46.032096603602696,34.57549225225315
63,60892,55353,2.315687708697332,11.456604351349549,OC,AMAZON,46.032096603602696,34.57549225225315
64,54088,3351,2.342876848480013,28.325123648647743,EU,AMAZON,65.14579912821537,36.820675479567626
65,10743,12938,3.349733294599125,52.115279590094595,NA,AMAZON,110.0734977387297,57.958218148635105
66,13851,1000298,3.629241373909189,23.636245891890095,EU,AMAZON,48.687324009010815,25.05107811712072
67,1004978,21265,4.670193369807525,26.915083591591895,EU,AMAZON,41.61026924762286,14.695185656030965
68,61241,50921,4.903350343678821,14.95466723573424,EU,AMAZON,53.37462405405675,38.41995681832251
69,1004876,24553,7.737699764464396,24.09156284384234,EU,AMAZON,47.23934013512702,23.147777291284683
70,35681,54460,7.82805766925646,22.416039436936934,EU,AMAZON,44.52466406307027,22.108624626133334
71,21965,3668,8.205156097239962,19.331265216211712,EU,AMAZON,54.73355192792703,35.40228671171532
72,1003131,19476,9.614209725756195,19.270904567569367,EU,AMAZON,40.909574432440536,21.63866986487117
73,60323,27280,10.566706619378952,14.560810372366669,EU,AMAZON,39.515439972975685,24.954629600609017
74,60234,31224,11.64229888079046,38.44687257017018,NA,AMAZON,100.13105864864865,61.68418607847847
75,28,51350,12.35021605532081,64.0966337987982,NA,AMAZON,116.62386086487027,52.52722706607207
76,32314,55286,14.675705539665262,11.235166903900899,OC,AMAZON,16.584354225485292,5.3491873215843935
77,62741,18414,17.475409231023185,46.084618069067574,NA,AMAZON,102.93790543693783,56.85328736787025
78,62843,1003169,20.728695323906624,22.795847441444145,EU,AMAZON,64.20472976577027,41.40888232432612
79,62417,62480,21.140063700988318,22.652922951954054,NA,AMAZON,50.66485494593785,28.011931993983794
80,50017,20453,21.963040885747965,45.09931308107928,NA,AMAZON,57.92964043242972,12.83032735135044
81,60510,15609,23.47209405531026,45.86310123123422,NA,AMAZON,54.61471345044864,8.751612219214422
82,55492,34568,26.05168565569216,86.42535246396216,NA,AMAZON,120.61119295495403,34.18584049099188
83,24742,10933,26.68952080963855,17.825706412123637,OC,AMAZON,41.469287180178384,23.643580768054747
84,1001356,11828,26.8029295234112,18.211346522522522,EU,AMAZON,42.892902792791894,24.681556270269372
85,61780,19991,27.59894922608949,51.92582577777568,NA,AMAZON,55.24396664864593,3.318140870870252
86,53509,54877,29.30781313906339,53.74973730330451,NA,AMAZON,49.17535142343244,-4.574385879872068
87,61899,13667,29.762698223753485,35.37386843543784,NA,AMAZON,48.8417052972919,13.46783686185406
88,60328,928,30.014458423761926,19.76398366366486,EU,AMAZON,51.747253063490476,31.983269399825616
89,17979,95,38.00752937050045,31.71296125524955,EU,AMAZON,52.32884466666486,20.615883411415307
90,19648,15542,39.21631018628719,77.10246449549369,NA,AMAZON,112.60522817117028,35.50276367567659
91,1002750,3150,40.22992598867224,26.333934384371176,EU,AMAZON,43.181265261259455,16.84733087688828
92,62365,10394,43.68122877616428,72.7908041111108,NA,AMAZON,97.38742292342701,24.59661881231621
93,61365,50084,55.726273551162414,33.8124136966955,NA,AMAZON,66.4701599909946,32.6577462942991
94,53798,54845,62.93033791785074,78.2980361171144,NA,AMAZON,99.18366201351623,20.88562589640182
95,20544,10603,65.90426526313449,31.03641232432432,EU,AMAZON,43.02103058558919,11.984618261264867
96,15623,61357,76.16979719911593,40.21560623423243,EU,AMAZON,83.38558157207297,43.16997533784053
97,52955,22878,87.57913770994035,28.392131651378897,OC,AMAZON,65.82538178788182,37.43325013650293
98,62498,1001544,87.70829965704122,69.03799074848635,NA,AMAZON,120.78109737963054,51.74310663114419
99,12426,1002532,91.24212312288236,72.81160704654324,NA,AMAZON,113.35063650450812,40.53902945796487
100,13040,26756,91.26516192302743,29.652653942944145,EU,AMAZON,44.60278814414594,14.950134201201795
101,62956,50495,114.09650876992733,35.3188475075045,NA,AMAZON,51.65421298648378,16.335365478979277
102,23127,13671,136.70830327446305,67.5819619189144,NA,AMAZON,114.63303308108647,47.051071162172065
103,54330,28181,203.5110963391436,47.82841314264234,NA,AMAZON,69.09044823422974,21.2620350915874
104,28221,1003432,209.1950992976013,57.216389126124334,NA,AMAZON,105.04654931081082,47.830160184686484
105,35042,24639,247.7685673171437,56.260295615616215,NA,AMAZON,58.14119144761428,1.8808958319980675
106,61366,11179,0.111195080233243,30.05477580480901,EU,MICROSOFT,54.62762405405947,24.572848249250455
107,61081,52041,0.1827980682499387,50.73438204504235,NA,MICROSOFT,75.68584166666757,24.95145962162522
108,1003898,16984,0.2223901604664861,15.463657584082881,EU,MICROSOFT,55.02838781982162,39.564730235738736
109,22802,24971,0.2795482523070224,28.794793234236035,NA,MICROSOFT,68.88494134234865,40.090148108112615
110,50008,32700,0.4447803209336795,15.263312177174772,EU,MICROSOFT,42.86150068468649,27.59818850751172
111,1001040,55147,0.7783655616341161,59.09741205864537,NA,MICROSOFT,84.08578014865675,24.988368090011384
112,61731,85,0.9235792253570396,23.934489738730626,NA,MICROSOFT,63.466909837845954,39.53242009911533
113,61498,55346,1.8656802253369968,30.667111348347753,EU,MICROSOFT,71.93010890990541,41.26299756155766
114,1002289,32700,2.1379832665426464,15.263312177174772,EU,MICROSOFT,42.86150068468649,27.59818850751172
115,1004453,55353,2.155535029778238,11.456604351349549,OC,MICROSOFT,44.71073216666756,33.254127815318014
116,60892,55353,2.315687708697332,11.456604351349549,OC,MICROSOFT,44.71073216666756,33.254127815318014
117,54088,3351,2.342876848480013,28.325123648647743,EU,MICROSOFT,62.59954476923077,34.27442112058303
118,10743,12938,3.349733294599125,52.115279590094595,NA,MICROSOFT,82.57415402702433,30.45887443692974
119,13851,1000298,3.629241373909189,23.636245891890095,EU,MICROSOFT,45.774620860356755,22.13837496846666
120,1004978,21265,4.670193369807525,26.915083591591895,EU,MICROSOFT,45.002701685722855,18.08761809413096
121,61241,50921,4.903350343678821,14.95466723573424,EU,MICROSOFT,55.50577018017027,40.55110294443603
122,1004876,24553,7.737699764464396,24.09156284384234,EU,MICROSOFT,45.095804432435145,21.004241588592805
123,35681,54460,7.82805766925646,22.416039436936934,EU,MICROSOFT,42.307325729724326,19.89128629278739
124,21965,3668,8.205156097239962,19.331265216211712,EU,MICROSOFT,52.68160839187838,33.350343175666666
125,1003131,19476,9.614209725756195,19.270904567569367,EU,MICROSOFT,41.64078900900541,22.369884441436042
126,60323,27280,10.566706619378952,14.560810372366669,EU,MICROSOFT,39.963214590083794,25.402404217717127
127,60234,31224,11.64229888079046,38.44687257017018,NA,MICROSOFT,61.19639398198108,22.749521411810903
128,28,51350,12.35021605532081,64.0966337987982,NA,MICROSOFT,71.75720891892703,7.66057512012884
129,32314,55286,14.675705539665262,11.235166903900899,OC,MICROSOFT,15.827181567567568,4.592014663666669
130,62741,18414,17.475409231023185,46.084618069067574,NA,MICROSOFT,70.0579967027027,23.97337863363512
131,62843,1003169,20.728695323906624,22.795847441444145,EU,MICROSOFT,61.19470765765676,38.39886021621261
132,62417,62480,21.140063700988318,22.652922951954054,NA,MICROSOFT,56.518426540543246,33.86550358858919
133,50017,20453,21.963040885747965,45.09931308107928,NA,MICROSOFT,77.84740261260811,32.74808953152883
134,60510,15609,23.47209405531026,45.86310123123422,NA,MICROSOFT,80.58976994594323,34.726668714709014
135,55492,34568,26.05168565569216,86.42535246396216,NA,MICROSOFT,86.41126395496217,-0.014088508999989813
136,24742,10933,26.68952080963855,17.825706412123637,OC,MICROSOFT,41.02155826576757,23.19585185364393
137,1001356,11828,26.8029295234112,18.211346522522522,EU,MICROSOFT,41.271154657654044,23.059808135131522
138,61780,19991,27.59894922608949,51.92582577777568,NA,MICROSOFT,80.94761353153243,29.021787753756747
139,53509,54877,29.30781313906339,53.74973730330451,NA,MICROSOFT,60.88397936036216,7.134242057057655
140,61899,13667,29.762698223753485,35.37386843543784,NA,MICROSOFT,54.023136,18.64926756456216
141,60328,928,30.014458423761926,19.76398366366486,EU,MICROSOFT,49.40194264999501,29.637958986330148
142,17979,95,38.00752937050045,31.71296125524955,EU,MICROSOFT,54.06171646846216,22.34875521321261
143,19648,15542,39.21631018628719,77.10246449549369,NA,MICROSOFT,81.73001673423244,4.627552238738744
144,1002750,3150,40.22992598867224,26.333934384371176,EU,MICROSOFT,36.08718657657567,9.753252192204492
145,62365,10394,43.68122877616428,72.7908041111108,NA,MICROSOFT,70.08334575675946,-2.7074583543513455
146,61365,50084,55.726273551162414,33.8124136966955,NA,MICROSOFT,64.09742922523512,30.285015528539617
147,53798,54845,62.93033791785074,78.2980361171144,NA,MICROSOFT,74.82752413062431,-3.470511986490095
148,20544,10603,65.90426526313449,31.03641232432432,EU,MICROSOFT,42.92081118918648,11.88439886486216
149,15623,61357,76.16979719911593,40.21560623423243,EU,MICROSOFT,89.5672431801838,49.35163694595136
150,52955,22878,87.57913770994035,28.392131651378897,OC,MICROSOFT,58.80459727272424,30.41246562134534
151,62498,1001544,87.70829965704122,69.03799074848635,NA,MICROSOFT,94.1056165945865,25.067625846100142
152,12426,1002532,91.24212312288236,72.81160704654324,NA,MICROSOFT,84.46230384684324,11.650696800299997
153,13040,26756,91.26516192302743,29.652653942944145,EU,MICROSOFT,47.34495822522703,17.692304282282887
154,62956,50495,114.09650876992733,35.3188475075045,NA,MICROSOFT,53.92440965765135,18.605562150146852
155,23127,13671,136.70830327446305,67.5819619189144,NA,MICROSOFT,87.91301709008378,20.331055171169382
156,54330,28181,203.5110963391436,47.82841314264234,NA,MICROSOFT,63.76540774325135,15.936994600609012
157,28221,1003432,209.1950992976013,57.216389126124334,NA,MICROSOFT,65.79910965765136,8.582720531527023
158,35042,24639,247.7685673171437,56.260295615616215,NA,MICROSOFT,83.21595491428285,26.95565929866663
